Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1740.5979239187961
FDW14,OUT017,1462.277380099444
NCN55,OUT010,897.948816040636
FDQ58,OUT017,2409.4496166891495
FDY38,OUT027,5810.174068203014
FDH56,OUT046,1888.1293619850824
FDL48,OUT018,605.1589055312846
FDC48,OUT027,2146.6641475181154
FDN33,OUT045,1475.4767897394886
FDA36,OUT017,2932.00454569101
FDT44,OUT017,1885.726447637171
FDQ56,OUT045,1457.7229215330779
NCC54,OUT019,802.735036726053
FDU11,OUT049,2091.760049628277
DRL59,OUT013,770.4394012998783
FDM24,OUT049,2544.6834975895795
FDI57,OUT045,3175.271972246282
DRC12,OUT018,2935.6749260625093
NCM42,OUT027,2955.459817685749
FDA46,OUT010,699.0529240022832
FDA31,OUT013,2843.346369106746
NCJ31,OUT035,3756.0312460000473
FDG52,OUT046,756.9105604782013
NCL19,OUT019,370.2178294413058
FDS10,OUT035,3211.6921620973576
FDX22,OUT010,712.2755518806538
NCF19,OUT035,792.9887792437867
NCE06,OUT046,2449.1907492968744
DRC27,OUT046,3641.066489352334
FDE21,OUT035,1985.19381623908
NCR42,OUT019,307.872245612865
FDX51,OUT018,2793.213735715617
NCR06,OUT018,415.5889727054966
FDU31,OUT027,5615.434904790214
FDU59,OUT017,2359.2365179474486
FDR03,OUT027,5169.192238395642
FDS49,OUT027,2282.7231670183187
FDD48,OUT010,173.19928370827347
NCF18,OUT017,3157.3323001065364
NCD43,OUT027,2757.525722082443
NCD54,OUT018,1970.4017525290237
FDY19,OUT010,164.9267288567636
NCY54,OUT017,2647.846589411951
NCL19,OUT018,2137.846852648017
FDP23,OUT010,655.3177558418905
FDC26,OUT013,1827.4735356989097
FDR14,OUT010,86.61374794770693
NCS41,OUT035,3208.8004852562894
FDF41,OUT035,3892.0197012063377
FDU34,OUT046,2035.7224137841729
DRH11,OUT046,944.0220528388087
FDM03,OUT013,1790.9289437659802
FDS31,OUT017,3221.496109043023
FDJ20,OUT017,1971.6800928615287
FDV44,OUT027,5025.382419360272
FDG02,OUT049,3021.928785183393
FDA09,OUT013,3111.674973813831
FDT04,OUT013,630.4067463932746
FDL58,OUT019,953.722603460849
FDE52,OUT045,1436.3233516088005
FDW12,OUT035,2568.4089060383826
FDL51,OUT017,3619.5725478685713
NCY42,OUT027,3370.270600592258
FDR07,OUT017,1474.0280796145746
FDN40,OUT045,2205.2903276702086
FDB35,OUT027,2589.761928366344
FDA22,OUT017,2556.7638988024814
NCL06,OUT046,3797.3170089480586
FDI35,OUT013,3216.9682106467594
NCW42,OUT045,3437.267841507377
NCX06,OUT049,3143.4785173221394
FDC37,OUT027,2814.132996318234
FDZ14,OUT018,1723.0211662784143
DRG49,OUT049,4176.989616605223
NCG06,OUT045,3746.6139834530445
DRC36,OUT045,2812.538421739046
FDV21,OUT019,309.29652921901334
FDB53,OUT046,2627.366899188293
DRP47,OUT019,947.7204421512946
FDA14,OUT013,2386.0527930821795
DRC24,OUT035,2644.8103218226956
FDW21,OUT018,1513.3181884808694
NCH29,OUT046,1725.070900575189
FDU58,OUT013,3080.2602537289863
FDY27,OUT017,2804.688739775483
FDV56,OUT035,1852.6563363287162
FDT59,OUT046,3702.3996649243963
FDB23,OUT046,3394.844508976668
FDR49,OUT045,779.3722695493898
FDB03,OUT010,904.5673731596199
FDN39,OUT045,2663.416181351659
FDX02,OUT027,5457.983581237518
FDQ16,OUT027,2859.7615583069237
FDU35,OUT018,1389.206186807719
NCT29,OUT013,2030.362523851958
FDZ27,OUT046,789.3857534267805
FDN57,OUT017,2137.1814382997113
FDA03,OUT018,2183.76978682847
FDZ36,OUT045,3129.819715928683
NCU05,OUT013,1227.9050273067387
FDT39,OUT018,2145.9850059316964
FDK60,OUT017,1636.1448499782211
FDZ25,OUT017,2966.0144950390054
FDG12,OUT046,2100.2311312475854
DRB01,OUT019,551.7220308877226
NCC43,OUT027,5780.130850355533
FDX13,OUT019,818.7626111660848
FDM22,OUT049,875.4082805736192
FDJ03,OUT027,1608.680985113583
FDU14,OUT018,3444.5083010362173
FDB33,OUT010,453.2928762528747
FDP27,OUT046,3198.1781803587023
FDO38,OUT010,25.98831620630843
FDE28,OUT027,5811.281879488914
FDO27,OUT035,1602.3306628334851
DRL23,OUT027,2794.3852839769334
FDS28,OUT046,929.6664639454256
FDX24,OUT013,1359.4952827759287
FDZ02,OUT035,1642.3488794289526
FDL46,OUT045,1751.2361588182373
FDS60,OUT027,4933.469033904162
NCO06,OUT017,594.6074942009924
FDO16,OUT035,1569.332103216772
FDC60,OUT049,1505.1616501465821
FDA48,OUT018,3455.2427334687654
FDZ36,OUT027,4966.76425084705
FDK27,OUT045,1929.677223373236
